@T,table
Created,2016-04-08 21:33
Author,HortonMachine library
@H,timestamp,value_0,value_1,value_2,value_3,value_4,value_5,value_6,value_7,value_8,value_9,value_10,value_11,value_12,value_13,value_14
ID,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Type,Date,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double
Format,yyyy-MM-dd HH:mm,,,,,,,,,,,,,,,
,1994-01-01 10:00,1.9680735993130438,2.2857185892038,2.5378715549179924,2.337552144093232,1.7634702054785607,0.8444610250112127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,1994-01-01 11:00,3.8388340024144436,4.262321558216519,3.9258877691884537,2.9617247805619016,1.418261071961626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,1994-01-01 12:00,5.165566674557298,4.757837894580972,3.5893553822069295,1.7188102842743642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,1994-01-01 13:00,4.119961277050444,3.1081355674408786,1.4883718131447847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,1994-01-01 14:00,3.470961619075543,1.6621158653620052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,1994-01-01 15:00,0.8592374247845807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,1994-01-01 16:00,0.0
,1994-01-01 17:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,1994-01-01 18:00,0.0
,1994-01-01 19:00,0.0
,1994-01-01 20:00,0.0,0.0,0.0,0.0,0.0
,1994-01-01 21:00,0.0
,1994-01-01 22:00,0.0
,1994-01-01 23:00,0.0
,1994-01-02 00:00,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0

