@T,table
Created,2016-03-11 19:20
Author,HortonMachine library
@H,timestamp,value_0,value_1,value_2,value_3,value_4,value_5,value_6,value_7,value_8,value_9,value_10,value_11,value_12,value_13,value_14
ID,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Type,Date,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double
Format,yyyy-MM-dd HH:mm,,,,,,,,,,,,,,,
,1994-01-01 10:00,0.0,118.70991636664519,165.6393700857206,200.6547558445601,229.00051449983653,254.53955273103043,278.8767450094855,300.6527677378046,321.48469617579093,341.07332213248577,358.87153879602323,376.50063199040466,393.36705253791376,409.56586723793856,425.17409982112827
,1994-01-01 11:00,0.0,196.86298976036676,275.1982482588261,333.02152968242376,382.2473109836812,427.4080424490394,467.29883197940507,504.8386580699518,539.8183548355122,571.5130270239335,602.5961994873139,632.197843302605,660.5188360560909,687.7188089556832
,1994-01-01 12:00,0.0,236.08437690156228,329.7146127089005,401.32651565362426,463.42486133162953,517.0975589818751,566.5386509565822,612.050710359158,653.0906270156863,692.8846714990038,730.5688345994976,766.4568189820427,800.792163140371
,1994-01-01 13:00,0.0,202.12429795215525,283.98988336758833,347.78890315063654,400.76704609641314,448.11581907283175,490.96134023511866,529.292954169297,565.9671253166863,600.4524866903002,633.1094115839633,664.2097548208171
,1994-01-01 14:00,0.0,224.51737243440667,317.4395755476383,387.94359326917765,447.97116827608886,500.89686326151656,547.641346865064,591.6353757570724,632.6291114320856,671.1762100878868,707.6794921393607
,1994-01-01 15:00,0.0,116.13860153371833,163.86346315124607,200.6757815867473,231.72689194362331,258.5624825037836,283.28433658148384,306.04156929635076,327.24679755313707,347.18641747237024
,1994-01-01 16:00,0.0
,1994-01-01 17:00,0.0,40.24137121728174,56.89628311370324,69.53241708293177,80.29135837506087,89.77740581117372,98.36124866319015,106.26293324076858
,1994-01-01 18:00,0.0
,1994-01-01 19:00,0.0
,1994-01-01 20:00,0.0,40.42278750259377,57.15278385858314,69.99229987330284,80.82239684431102
,1994-01-01 21:00,0.0
,1994-01-01 22:00,0.0
,1994-01-01 23:00,0.0
,1994-01-02 00:00,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0

