@T,table
Created,2017-02-17 15:02
Author,HortonMachine library
@H,timestamp,value_0,value_1,value_2,value_3,value_4,value_5,value_6,value_7,value_8,value_9,value_10,value_11,value_12,value_13,value_14,value_15
ID,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Type,Date,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double
Format,yyyy-MM-dd HH:mm,,,,,,,,,,,,,,,,
,1994-01-01 00:00,0.09348020980335699,0.2699174401296022,0.13317398370028039,0.07073392568177349,0.0720878620558153,0.057437294296832565,0.0444641191303822,0.041147567376168745,0.04080010583036003,0.03582056585620454,0.03353073274513601,0.03343790106273275,0.033246340513727914,0.032951798431510686,0.03277166599857708,0.03245686982091037
,1994-01-01 01:00,0.8253717734519198,1.6526074919263833,0.8777646524275056,0.894566172763256,0.7127616087880552,0.5517724585167774,0.5106160845457912,0.5063042997826941,0.44451126154065385,0.4160958364743764,0.414943852208643,0.41256670323669814,0.40891161657311004,0.40667628351530366,0.40276985594449044
,1994-01-01 02:00,3.2962561572688154,4.3826518234579215,4.466541296032032,3.558796718239645,2.754982858747702,2.549490353516346,2.5279617452475067,2.219431012118162,2.0775536716070766,2.071801849716267,2.059932818253547,2.041683083331128,2.0305221343515383,2.0110174620352366
,1994-01-01 03:00,3.33989440716538,4.961744568391749,3.95335878847079,3.060426475301473,2.8321511154424517,2.8082356407914415,2.4654982545623207,2.3078910419559735,2.301501518355143,2.28831657311697,2.2680434989138174,2.255645140921074,2.233977995022379
,1994-01-01 04:00,10.879767344435548,14.637786428313952,11.331597136001156,10.486380158931544,10.397830237458654,9.128803840145235,8.545244178315006,8.521586198644558,8.472767353001649,8.39770385729857,8.351797445543374,8.271572231707195
,1994-01-01 05:00,17.291920735180078,19.836094026197983,18.356531769574364,18.201524090844927,15.980078460832049,14.958550411164229,14.917136839574928,14.831678876253358,14.70027934441059,14.61991963085456,14.479484450727083
,1994-01-01 06:00,12.224538803854822,13.579998090717515,13.465324795804513,11.821919179052365,11.066201860648214,11.035564470635103,10.972343433387367,10.875135234477835,10.815685836826896,10.711793146097502
,1994-01-01 07:00,12.256392844853947,13.984347473257886,12.277596575475878,11.492750035761132,11.460931723606453,11.395273823340458,11.294318721891734,11.232577839556267,11.124680591690085
,1994-01-01 08:00,20.71680997232375,21.719471609080966,20.33105230143979,20.274764662141326,20.15861367998676,19.98002078957633,19.870799140798315,19.679925365355288
,1994-01-01 09:00,9.229974512556316,9.237246276534389,9.211672450899805,9.158900208149383,9.077757998316867,9.028134041153558,8.941412112285452
,1994-01-01 10:00,0.8945475065718229,0.8976544348378396,0.8925119118059196,0.8846048064570331,0.8797690759792851,0.871318240969564
,1994-01-01 11:00,1.5075986970355653,1.5146291849812734,1.5012105040967663,1.4930040718739397,1.4786626595366124
,1994-01-01 12:00,1.8356001384196141,1.84215042477136,1.8320802297095202,1.814481739186751
,1994-01-01 13:00,1.5951759149264697,1.6034649241747991,1.588062453358247
,1994-01-01 14:00,1.7906442909525597,1.79444837072606
,1994-01-01 15:00,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0

