@T,table
Created,2017-02-17 15:02
Author,HortonMachine library
@H,timestamp,value_0,value_1,value_2,value_3,value_4,value_5,value_6,value_7,value_8,value_9,value_10,value_11,value_12,value_13,value_14,value_15
ID,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Type,Date,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double
Format,yyyy-MM-dd HH:mm,,,,,,,,,,,,,,,,
,1994-01-01 00:00,0.0,2464.1568028299853,485.131003892575,199.42305354131508,108.02464448750108,53.96493844576261,36.40516268494221,30.747839331562,25.573426413888495,22.534856830060974,23.274002034858768,25.178984985987064,26.84721973954104,28.419616016159846,29.926634183148376,31.49845966160632
,1994-01-01 01:00,0.0,3010.0891680277527,1649.8118886190018,1005.389708067015,535.7374411958854,376.4714581524262,327.0530017178755,277.6817254210805,248.57222904679145,259.93448686519173,284.0506973097778,305.39440944595844,325.541548958384,344.8446698422184,364.8181352162146
,1994-01-01 02:00,0.0,4118.729924941808,3346.5865253364086,2006.1903840554887,1503.7682987015567,1360.804621130694,1188.3911025502684,1085.974285527557,1153.6398860839215,1276.4307297733271,1386.2044204411359,1489.9673326717566,1589.3527341095528,1691.4167135871178
,1994-01-01 03:00,0.0,1858.8104770790258,1485.7438274950623,1252.8677717864048,1209.3410968412445,1100.1228742401831,1034.036339242689,1121.3504593082653,1260.3982108298817,1385.9030104396918,1504.6902635690296,1618.4332108391463,1734.4091688298213
,1994-01-01 04:00,0.0,2750.572614036741,3092.5957474961556,3358.298153870408,3258.6698126146407,3190.5366008205715,3558.8013880785556,4083.4289803751008,4561.308972418961,5014.167017880484,5447.676027198571,5886.7036837442565
,1994-01-01 05:00,0.0,2706.8126097360546,3919.1602706817666,4278.254867400432,4468.0574678627745,5191.436395890811,6126.934666354902,6986.546865533096,7802.096286732652,8582.598846619296,9367.949105148604
,1994-01-01 06:00,0.0,1449.6798649429297,2110.0098014229598,2479.0717268019976,3072.4625862552375,3777.2095747483604,4430.215636698806,5050.430945044218,5643.848796398543,6237.29249636605
,1994-01-01 07:00,0.0,1095.670200405128,1716.4185770714023,2393.168289087529,3138.2420831946542,3834.149057211494,4495.800390763581,5128.717715369354,5757.964211978779
,1994-01-01 08:00,0.0,1518.200419961124,2822.3955392276375,4163.73999235234,5426.188494215895,6627.682132723654,7776.745795843148,8912.774338768646
,1994-01-01 09:00,0.0,641.1660916289974,1261.1739969829382,1849.0080611968597,2408.9862617969666,2944.4170375906283,3470.953425769656
,1994-01-01 10:00,0.0,61.4491254182249,120.12080651160862,176.06226335866785,229.54085924296135,281.8631065065513
,1994-01-01 11:00,0.0,101.92495856880747,199.189903559058,292.1551633845335,382.66656759390594
,1994-01-01 12:00,0.0,122.21396148312341,239.0043487613261,352.18047941070427
,1994-01-01 13:00,0.0,104.59014942396645,205.48919803716421
,1994-01-01 14:00,0.0,116.09737256863755
,1994-01-01 15:00,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0

