@T,table
Created,2016-04-08 21:33
Author,HortonMachine library
@H,timestamp,value_0,value_1,value_2,value_3,value_4,value_5,value_6,value_7,value_8,value_9,value_10,value_11,value_12,value_13,value_14
ID,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Type,Date,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double
Format,yyyy-MM-dd HH:mm,,,,,,,,,,,,,,,
,1994-01-01 10:00,62.091397305507925,61.4491254182249,60.68816009184618,60.04439706287284,59.34155968865211,58.984880827828135,58.984934319254606,58.86217039884746,58.86222383120548,58.86227720544906,58.73921604025839,58.739269355826806,58.739322613410614,58.73937581310439,58.739428955002474
,1994-01-01 11:00,103.2029897242432,101.92495856880747,100.84376711470942,99.66336108263263,99.06432367472911,99.06441351286918,98.858233139592,98.85832287852739,98.85841251986034,98.65173292791842,98.65182247070722,98.65191191611164,98.65200126429052,98.6520905154023
,1994-01-01 12:00,123.52427241762783,122.21396148312341,120.78341102406945,120.05742927238425,120.05753814847351,119.80766529148661,119.80777404734835,119.80788268492434,119.55740481790649,119.55751333605544,119.55762173618292,119.55773001848142,119.55783818314296
,1994-01-01 13:00,105.82890800018485,104.59014942396645,103.9614990220276,103.96159330125309,103.74522054585834,103.74531472097506,103.74540879366442,103.52851214108047,103.52860611035422,103.52869997742947,103.5287937424729,103.52888740565079
,1994-01-01 14:00,116.79940803961374,116.09737256863755,116.09747785348311,115.85584697442621,115.85595214300992,115.85605719720948,115.61384126418803,115.61394620289983,115.61405102748306,115.61415573812386,115.61426033500791
,1994-01-01 15:00,60.01699972246259,60.01705414988336,59.892142103379264,59.892196470697996,59.8922507788854,59.76703628640125,59.76709053488679,59.76714472437311,59.76719885495643,59.76725292673276
,1994-01-01 16:00,0.0
,1994-01-01 17:00,20.79555914047593,20.795578017723468,20.795596874439614,20.752120296507165,20.75213913249382,20.752157947994952,20.75217674304397,20.752195517674213
,1994-01-01 18:00,0.0
,1994-01-01 19:00,0.0
,1994-01-01 20:00,20.889309070172693,20.889328030680883,20.889346970568127,20.889365889868053,20.889384788614215
,1994-01-01 21:00,0.0
,1994-01-01 22:00,0.0
,1994-01-01 23:00,0.0
,1994-01-02 00:00,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0

