@T,table
Created,2016-04-11 16:45
Author,HortonMachine library
@H,timestamp,value_0,value_1,value_2,value_3,value_4,value_5,value_6,value_7,value_8,value_9,value_10,value_11,value_12,value_13,value_14,value_15
ID,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Type,Date,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double
Format,yyyy-MM-dd HH:mm,,,,,,,,,,,,,,,,
,1994-01-01 00:00,10000.000000000004,2464.1568028299853,984.3752705497923,675.294810517855,399.9166097717438,269.8809558150814,224.82235161173864,195.37863759752963,163.6145251622166,153.03488358600225,152.08298584929682,150.5098431824559,148.64597984573575,147.06918486487987,145.3476966865411,144.4740686398644
,1994-01-01 01:00,7535.065053369046,3010.0891680277527,2064.962068002632,1222.8920120229884,825.260209251531,687.4769669285298,597.4419901547054,500.3115424138251,467.9604000569143,465.04962288478276,460.2391610183694,454.5397138579263,449.71808369911105,444.45400091124174,441.782562082107
,1994-01-01 02:00,6003.860567323163,4118.729924941808,2439.1546958357767,1646.046662249722,1371.227104009522,1191.645232324837,997.9108834317753,933.3839750705264,927.5782001221797,917.9833540235526,906.6153565483992,896.9982344085608,886.4986055573926,881.1702098358908
,1994-01-01 03:00,3138.7670285165896,1858.8104770790258,1254.405383461069,1044.973208029459,908.1189670291462,760.4795253376004,711.3054022202025,706.880986122292,699.5690265796941,690.9057987629842,683.5768632824264,675.5753945165,671.5147755610643
,1994-01-01 04:00,4075.869938337851,2750.572614036741,2291.3443503227377,1991.2599179906383,1667.526449988471,1559.7008633405617,1549.9993123806655,1533.9661575983394,1514.9700360127824,1498.8996575779865,1481.3545950728314,1472.4507531074512
,1994-01-01 05:00,3249.3084833017942,2706.8126097360546,2352.316645256685,1969.8835843950892,1842.5069822926423,1831.0463389072231,1812.1060405917221,1789.6655281315927,1770.6812567433099,1749.954910473762,1739.4366172702137
,1994-01-01 06:00,1668.1477582622783,1449.6798649429297,1213.9949671901222,1135.4956309272463,1128.4326940608871,1116.7602140147333,1102.9306306811932,1091.231051018863,1078.4578697716079,1071.9756821369215
,1994-01-01 07:00,1308.383536236313,1095.670200405128,1024.8219795975167,1018.4474478564798,1007.9126524932043,995.4310007960386,984.8717471420047,973.3435329111139,967.4931463636314
,1994-01-01 08:00,1623.1569887359828,1518.200419961124,1508.757007389022,1493.150461995635,1474.6597882730753,1459.0170096723214,1441.9387853219675,1433.2718563429353
,1994-01-01 09:00,645.1791937394379,641.1660916289974,634.5338853395134,626.6760308644596,620.0284267979705,612.7708112210069,609.0876860042241
,1994-01-01 10:00,62.091397305507925,61.4491254182249,60.68816009184618,60.04439706287284,59.34155968865211,58.984880827828135
,1994-01-01 11:00,103.2029897242432,101.92495856880747,100.84376711470942,99.66336108263263,99.06432367472911
,1994-01-01 12:00,123.52427241762783,122.21396148312341,120.78341102406945,120.05742927238425
,1994-01-01 13:00,105.82890800018485,104.59014942396645,103.9614990220276
,1994-01-01 14:00,116.79940803961374,116.09737256863755
,1994-01-01 15:00,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0

