@T,table
Created,2016-03-11 19:20
Author,HortonMachine library
@H,timestamp,value_0,value_1,value_2,value_3,value_4,value_5,value_6,value_7,value_8,value_9,value_10,value_11,value_12,value_13,value_14
ID,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Type,Date,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double
Format,yyyy-MM-dd HH:mm,,,,,,,,,,,,,,,
,1994-01-01 10:00,62.091397305507925,61.30460221592997,60.48445832602006,59.824686930130525,59.128417686749614,58.78397954644495,58.79286998005696,58.681830744943376,58.69517350412043,58.71016156283532,58.60376990049682,58.62133535493371,58.639942303799614,58.65946749762442,58.679810171817685
,1994-01-01 11:00,103.2029897242432,101.66469363033757,100.4907044115814,99.28949189561058,98.6970649950051,98.70664639636377,98.51606475636099,98.53512046228927,98.5575126115917,98.3765659010021,98.40403932879326,98.43351812448574,98.464744789903,98.49751248437049
,1994-01-01 12:00,123.52427241762783,121.91954352528349,120.39776377772246,119.65444354748946,119.65728036501932,119.4197601298822,119.43782993893694,119.46091986068318,119.23823473587531,119.26869786760156,119.30198762203295,119.3377073050096,119.37554490372644
,1994-01-01 13:00,105.82890800018485,104.38175734080981,103.70103591114164,103.69234539787458,103.4788998113385,103.48895038191235,103.50460107635023,103.30814442440348,103.33163293075205,103.35801781266339,103.38685091267168,103.41778864361042
,1994-01-01 14:00,116.79940803961374,115.94606945173841,115.91544189225233,115.66436048920414,115.66710409931716,115.67833230208186,115.45389523549495,115.476226093401,115.50246683891763,115.53194335171423,115.5641549613327
,1994-01-01 15:00,60.01699972246259,59.97671455642192,59.835972589123536,59.830955699781796,59.83237411505743,59.71304467184884,59.7220796142589,59.73362462449438,59.74719104683646,59.762430361842185
,1994-01-01 16:00,0.0
,1994-01-01 17:00,20.79555914047593,20.781593742173648,20.776104516186475,20.730907004786182,20.7313987263574,20.733411095891963,20.736544753971128,20.740549005469575
,1994-01-01 18:00,0.0
,1994-01-01 19:00,0.0
,1994-01-01 20:00,20.889309070172693,20.875281393104135,20.869767687003005,20.868019847403364,20.8685139834394
,1994-01-01 21:00,0.0
,1994-01-01 22:00,0.0
,1994-01-01 23:00,0.0
,1994-01-02 00:00,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0

