@T,table
Created,2016-03-11 19:22
Author,HortonMachine library
@H,timestamp,value_0,value_1,value_2,value_3,value_4,value_5,value_6,value_7,value_8,value_9,value_10,value_11,value_12,value_13,value_14
ID,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Type,Date,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double
Format,yyyy-MM-dd HH:mm,,,,,,,,,,,,,,,
,1994-01-01 10:00,0.3124924583043304,0.3121576978181622,0.31174265539751755,0.3115354564782965,0.31166539290277406,0.3122143042548004,0.313074616259185,0.31386959669542824,0.314610802253118,0.31530745156655227,0.31596743878873,0.31659492407296513,0.3171940518941748,0.3177681537512227,0.3183199552873105
,1994-01-01 11:00,0.28198217050233376,0.28177108780535254,0.28175235494701517,0.28202894922731736,0.2826643289806995,0.28355473233480416,0.2843660051059752,0.2851146619085371,0.28581282781659145,0.2864701954996121,0.28709210029677956,0.2876834854922342,0.2882482419615662,0.2887894973817802
,1994-01-01 12:00,0.26218488824138053,0.2623426049713686,0.26276349497570983,0.26350348194292206,0.26445678511182824,0.2653077071792905,0.2660819129055814,0.26679647207651813,0.26746398811173056,0.2680915842890681,0.2686853976469652,0.26925013672311277,0.2697895076464681
,1994-01-01 13:00,0.2791141946978678,0.2796136627820258,0.280517747950343,0.28166547442408224,0.2826568167603953,0.28354015780364833,0.2843437456566564,0.28508649975145245,0.2857791717827947,0.28643034593969335,0.2870464024482758,0.28763223640003754
,1994-01-01 14:00,0.3403227686702587,0.3414882707823544,0.3430577106498602,0.34433391716475137,0.3454337874006639,0.34641328160059515,0.34730529845922087,0.3481280991188952,0.3488950902046468,0.34961584058202994,0.3502974621804769
,1994-01-01 15:00,0.519142202534882,0.5216207486326107,0.5233581049969536,0.5247654401969072,0.5259760384805309,0.5270540678941268,0.5280328124069956,0.5289343877518942,0.5297737552176504,0.5305615923649364
,1994-01-01 16:00,0.0
,1994-01-01 17:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
,1994-01-01 18:00,0.0
,1994-01-01 19:00,0.0
,1994-01-01 20:00,1.0,1.0,1.0,1.0,1.0
,1994-01-01 21:00,0.0
,1994-01-01 22:00,0.0
,1994-01-01 23:00,0.0
,1994-01-02 00:00,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0

