@T,table
Created,2016-03-11 19:22
Author,HortonMachine library
@H,timestamp,value_0,value_1,value_2,value_3,value_4,value_5,value_6,value_7,value_8,value_9,value_10,value_11,value_12,value_13,value_14
ID,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Type,Date,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double
Format,yyyy-MM-dd HH:mm,,,,,,,,,,,,,,,
,1994-01-01 10:00,4317.672097114543,50.000612690688605,39.193905510162566,29.458158719993502,19.251128180438773,8.25355768471063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,1994-01-01 11:00,4813.519741573748,53.290510310527566,34.674746696088015,21.361724611809883,8.86714770752145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,1994-01-01 12:00,5215.308486886348,47.92866250387778,25.562567986717216,10.003195311120363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,1994-01-01 13:00,4929.111090074413,37.13543700023535,12.583979563516394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,1994-01-01 14:00,4072.2414099050493,19.50854614154835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,1994-01-01 15:00,2678.9453102838143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,1994-01-01 16:00,0.0
,1994-01-01 17:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,1994-01-01 18:00,0.0
,1994-01-01 19:00,0.0
,1994-01-01 20:00,0.0,0.0,0.0,0.0,0.0
,1994-01-01 21:00,0.0
,1994-01-01 22:00,0.0
,1994-01-01 23:00,0.0
,1994-01-02 00:00,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0

