@T,table
Created,2016-03-11 19:22
Author,HortonMachine library
@H,timestamp,value_0,value_1,value_2,value_3,value_4,value_5,value_6,value_7,value_8,value_9,value_10,value_11,value_12,value_13,value_14
ID,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Type,Date,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double
Format,yyyy-MM-dd HH:mm,,,,,,,,,,,,,,,
,1994-01-01 10:00,4317.672097114541,43.268972162111794,30.749161372914077,25.205489979864662,21.934448554114088,19.62958898311465,17.850220164726785,16.492599709950895,15.375146873841787,14.44924908321137,13.687337500249853,13.011961736202922,12.422731879245262,11.902753852263654,11.439436357160947
,1994-01-01 11:00,4813.519741573749,48.26990501796143,34.224365302183436,28.05492209996782,24.294336195275427,21.636102706102452,19.703792926840507,18.174834455344133,16.94193763098375,15.945543779405662,15.079665618265262,14.334536963576877,13.684457285119029,13.110786537199173
,1994-01-01 12:00,5215.308486886348,52.17910592001481,37.00034668527006,30.185109838952638,26.0146984089369,23.203185234077406,21.096446798831245,19.458409672247335,18.166205622362707,17.06996978467871,16.14233206663691,15.344059822688715,14.647618754996756
,1994-01-01 13:00,4929.111090074413,49.357724419902866,34.845557602498864,28.29745590740314,24.428674800107835,21.75626994891666,19.782573757260156,18.276787738577966,17.03728953863181,16.010270878524572,15.141198014511465,14.39331701032808
,1994-01-01 14:00,4072.2414099050493,40.61461129419622,28.54458174151113,23.225663997402723,20.02521812973724,17.83969620390747,16.251193852074117,14.99409047441133,13.980385598814083,13.140435964940089,12.42964591207988
,1994-01-01 15:00,2678.9453102838143,26.609312592749014,18.754518493324678,15.25150168083328,13.161527438487038,11.752876204663414,10.69708974267025,9.87614655901016,9.214121525864662,8.66554083540555
,1994-01-01 16:00,0.0
,1994-01-01 17:00,1391.4334303933404,13.886741569807288,9.804674190781721,8.007433802453313,6.926080116330765,6.187674428551542,5.642287331994251,5.218173107782141
,1994-01-01 18:00,0.0
,1994-01-01 19:00,0.0
,1994-01-01 20:00,1391.3658913673214,13.886068822709722,9.804199926468527,7.9943983223332635,6.91481896985613
,1994-01-01 21:00,0.0
,1994-01-01 22:00,0.0
,1994-01-01 23:00,0.0
,1994-01-02 00:00,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0

